125.4,6.9393,174.63
126.02,6.4982,176.68
126.51,6.1579,178.51
127.39,5.9632,181.22
127.17,5.7249,183.16
127.64,4.5584,187.51
127.7,3.9176,194.01
126.87,3.9314,197.53
126.04,3.8375,200.83
125.04,3.7785,205.21
124.05,3.7826,209.59
122.84,3.7735,213.11
121.41,3.8444,216.89
118.87,3.8558,222.35
117.55,3.9611,225.66
116.45,4.0503,228.5
114.34,4.0984,232.51
112.86,4.1808,235.02
111.04,4.2632,237.25
107.79,4.2149,239.25
104.55,4.2265,241.48
101.91,4.3089,242.8
98.874,4.2311,243.51
93.828,4.0549,244.32
90.458,4,244.71
86.908,4.0114,244.95
80.732,3.897,244.87
76.407,3.7803,244.67
72.156,3.6796,244.51
65.941,3.6362,244.38
61.719,3.6293,244.29
57.545,3.5698,244.12
51.974,3.4956,244.04
46.478,3.4805,244.03
41.886,3.492,243.96
37.183,3.5446,243.79
30.275,3.8124,243.46
26.156,4.8307,243.67
22.048,5.7094,243.73
16.762,7.8398,243.67
13.668,9.881,243.69
11.009,12.668,243.93
8.7807,16.945,244.04
6.5744,21.297,243.82
5.73,26.002,243.94
5.1533,30.641,244.02
5.1556,38.391,244.28
5.0526,43.423,244.27
5.3227,48.911,244.41
5.5812,57.13,244.86
5.5469,62.455,245.06
5.3364,67.476,245.1
5.3936,75.222,245.63
5.46,80.474,245.8
5.4508,85.455,245.94
5.4302,90.318,245.95
5.5904,97.638,246.12
5.7346,102.59,246.24
5.6705,107.26,246.11
5.7391,114.2,246.19
5.9771,118.67,246.13
6.2494,123.03,246.08
6.5629,129.42,245.93
6.7529,133.46,246.1
6.7346,137.36,246.17
6.9627,142.66,246.53
7.1487,147.73,246.92
6.9817,151.35,246.78
7.0961,155.43,247.02
7.3501,161.41,247.25
7.4233,165.46,247.51
7.3455,169.35,247.59
7.3432,175.18,247.64
7.3341,178.74,247.59
7.2311,182.43,247.42
7.4013,187.63,247.66
7.2838,192.32,247.56
7.4279,196.13,247.72
7.5446,199.86,247.76
7.8924,205.68,247.79
7.9062,209.15,247.72
7.9405,212.6,247.73
8.0755,217.82,247.99
8.5492,221.89,248.45
8.8421,225.23,248.7
8.9634,229.5,248.44
9.3158,232.72,248.51
9.5881,235.66,248.41
9.7368,238.36,247.24
9.4874,241.57,243.14
9.5195,243.75,239.38
9.627,245.73,235.38
9.6156,247.96,228.42
9.2792,248.77,222.38
9.0961,249.58,215.29
8.9428,250.35,203.14
8.8902,250.51,195.17
8.7643,250.56,185.69
8.5768,250.43,172.83
8.6636,250.3,161.84
8.7277,250.11,153.13
8.6705,249.97,143.05
8.4485,249.97,126.51
8.3547,249.96,115.35
8.341,249.97,103.95
8.4439,249.95,86.144
8.7414,249.97,73.412
9.3959,250.03,62.245
10.724,249.97,50.939
12.217,249.96,39.096
14.03,250.04,30.767
16.398,250.08,24.089
20.931,250.04,16.275
24.403,250.08,12.535
27.705,249.99,10.108
33.222,250.06,8.8764
37.43,250.13,8.7963
41.43,250.1,8.7323
47.693,250.19,8.7551
51.966,250.35,8.9474
56.215,250.47,9.1281
60.987,250.44,9.1382
65.366,250.39,9.016
68.641,250.29,8.7849
72.261,250.39,8.7712
77.471,250.48,8.7986
80.297,250.41,8.7414
83.201,250.35,8.7231
87.542,250.41,8.8467
90.33,250.44,8.8032
93.025,250.43,8.6362
96.645,250.58,8.6294
100.31,250.73,8.6499
103.59,250.88,8.8055
106.88,250.85,8.8444
111.89,250.82,8.8787
115.3,250.94,8.9588
118.63,251.13,9.0183
123.57,251.29,8.9908
126.68,251.24,8.9268
129.73,251.19,8.8902
134.61,251.12,8.8741
137.99,251.21,8.9703
141.01,251.23,8.9977
143.73,251.25,9.0229
147.86,251.39,9.1739
150.6,251.42,9.2563
153.48,251.43,9.3638
157.7,251.43,9.5309
160.29,251.44,9.6362
163.03,251.52,9.778
167.04,251.67,9.9222
169.39,251.65,9.9314
171.75,251.59,9.8902
175.12,251.64,9.9912
178.37,251.59,9.9771
180.96,251.6,10.002
183.59,251.66,10.071
187.54,251.64,10.124
190.24,251.65,10.199
192.77,251.64,10.3
196.69,251.71,10.661
199.29,251.71,10.847
201.84,251.74,11.046
205.3,251.78,10.985
208.83,251.94,10.989
211.72,252.03,10.975
214.46,252.04,10.902
218.6,252.07,10.892
221.51,252.16,10.986
224.32,252.22,11.076
228.16,252.15,10.812
230.88,252.3,10.801
233.39,252.39,10.707
236.55,252.42,10.854
238.57,252.32,11.041
240.7,252.21,11.247
242.76,251.91,11.382
245.17,251,11.355
246.42,250.34,11.323
247.64,249.74,11.3
249.03,248.6,11.54
249.61,247.21,11.524
250.22,245.39,11.465
251.1,242.31,11.288
251.2,239.7,11.227
251.08,236.98,11.165
250.62,233.14,10.895
250.61,229.97,11.005
250.68,227.16,11.069
250.67,224.07,11.094
250.4,218.86,10.719
250.14,215.5,10.62
250.03,212.57,10.588
249.86,208.41,10.707
249.82,205.83,10.629
249.79,203.04,10.359
250.06,200.06,10.401
249.99,196.67,10.201
249.85,193.63,9.9908
249.63,190.48,9.6979
249.82,186.51,9.7689
250.05,183.92,9.7391
250.22,181.12,9.7414
250.25,176.54,9.4989
250.15,173.46,9.2494
250.06,170.16,9.1304
249.9,165.06,8.9291
249.9,161.8,8.849
249.78,158.59,8.6842
249.58,154.36,8.5702
249.3,150.04,8.3181
249.21,146.83,8.2059
249.11,143.87,8.2792
248.64,139.08,8.167
248.57,135.92,8.254
248.49,132.95,8.3112
248.54,128.42,8.4416
248.53,125.25,8.5103
248.25,121.73,8.3295
248.22,117.92,8.2632
248.18,114.18,8.1899
247.92,110.77,7.9657
247.88,107.34,7.7803
247.97,102.24,7.746
247.67,98.526,7.4691
247.54,95.151,7.3341
247.44,89.961,7.3227
247.34,86.458,7.2082
247.25,82.874,7.1304
247.44,78.498,7.3092
247.5,73.68,7.4165
247.55,69.652,7.4416
247.32,65.307,7.1533
247.27,59.323,7.0092
247.49,55.611,7.0732
247.49,51.419,7.0229
247.24,44.941,6.7277
247.07,40.368,6.643
247.11,36.117,6.714
246.58,29.325,6.3364
246.19,25.169,5.9886
245.97,21.588,5.8261
245.78,17.838,5.7412
245.53,13.886,5.5469
245.34,11.284,5.4005
245.14,9.1579,5.2517
244.8,6.7872,4.9497
244.68,5.9268,4.7735
244.62,5.4851,4.627
244.65,5.2563,4.4783
244.65,5.2609,4.4737
244.66,5.2654,4.4691
244.66,5.2697,4.4671
244.67,5.2723,4.4668
244.67,5.2723,4.4668
244.67,5.2723,4.4668
244.67,5.2723,4.4622
244.66,5.2677,4.4668
244.66,5.2632,4.4714
244.65,5.254,4.4851
244.65,5.2563,4.4897
244.66,5.2654,4.4943
244.68,5.2815,4.4943
244.69,5.2929,4.4966
244.69,5.2975,4.492
244.7,5.3021,4.4874
244.7,5.3066,4.4874
244.71,5.3135,4.4851
244.72,5.3227,4.4851
244.73,5.3387,4.4783
244.73,5.341,4.4783
244.73,5.3318,4.4737
244.71,5.3158,4.4737
244.7,5.3066,4.4691
244.7,5.3066,4.4691
244.7,5.307,4.4649
244.7,5.3089,4.4622
244.7,5.3066,4.46
244.69,5.2975,4.46
244.68,5.2815,4.4668
244.67,5.2723,4.4668
244.67,5.27,4.4691
244.67,5.2723,4.4622
244.67,5.2723,4.4622
244.67,5.2723,4.4622
244.68,5.2851,4.4715
244.69,5.2929,4.4805
244.7,5.3021,4.4851
244.68,5.3158,4.5126
244.7,5.3593,4.6476
244.26,5.5217,5.0046
243.66,5.7002,5.5744
